,China,Diamond Princess,UK,Asia,Europe,North America,South America,Africa,Oceania,Unrecognised,Total
1/22/20,548,0,0,4,0,1,0,0,0,2,555
1/23/20,643,0,0,7,0,1,0,0,0,2,653
1/24/20,920,0,0,12,2,2,0,0,0,5,941
1/25/20,1406,0,0,18,3,2,0,0,0,5,1434
1/26/20,2075,0,0,23,3,6,0,0,4,7,2118
1/27/20,2877,0,0,26,4,6,0,0,5,9,2927
1/28/20,5509,0,0,37,8,7,0,0,5,12,5578
1/29/20,6087,0,0,44,10,7,0,0,6,12,6166
1/30/20,8141,0,0,54,10,7,0,0,9,13,8234
1/31/20,9802,0,2,66,16,11,0,0,9,21,9927
2/1/20,11891,0,2,78,21,12,0,0,12,22,12038
2/2/20,16630,0,2,83,23,12,0,0,12,25,16787
2/3/20,19716,0,2,86,25,15,0,0,12,25,19881
2/4/20,23707,0,2,102,26,15,0,0,13,27,23892
2/5/20,27440,0,2,108,26,16,0,0,13,30,27635
2/6/20,30587,0,2,133,26,16,0,0,14,39,30817
2/7/20,34110,61,3,116,28,18,0,0,15,101,34452
2/8/20,36814,61,3,135,33,18,0,0,15,102,37181
2/9/20,39829,64,3,143,35,18,0,0,15,107,40214
2/10/20,42354,135,8,152,35,18,0,0,15,180,42897
2/11/20,44386,135,8,156,37,19,0,0,15,181,44937
2/12/20,44759,175,9,161,37,19,0,0,15,221,45396
2/13/20,59895,175,9,171,37,20,0,0,15,221,60543
2/14/20,66358,218,9,181,37,20,0,1,15,264,67103
2/15/20,68413,285,9,203,38,20,0,1,15,331,69315
2/16/20,70513,355,9,224,38,20,0,1,15,404,71579
2/17/20,72434,454,9,234,38,21,0,1,15,506,73712
2/18/20,74211,542,9,246,38,21,0,1,15,595,75678
2/19/20,74619,621,9,261,38,21,0,1,15,675,76260
2/20/20,75077,634,9,274,38,21,0,1,15,762,76831
2/21/20,75550,634,9,301,55,24,0,1,19,864,77457
2/22/20,77001,634,9,332,97,24,0,1,22,1093,79213
2/23/20,77022,691,9,376,190,24,0,1,22,1321,79656
2/24/20,77241,691,13,412,264,61,0,1,22,1554,80259
2/25/20,77754,691,13,493,368,62,0,2,22,1699,81104
2/26/20,78166,705,13,597,528,68,1,2,22,1998,82100
2/27/20,78600,705,15,749,790,71,1,2,23,2503,83459
2/28/20,78928,705,20,919,1074,75,1,3,24,3076,84825
2/29/20,79356,705,23,1172,1443,92,2,3,26,3894,86716
3/1/20,79932,705,36,1609,2167,104,8,4,28,4481,89074
3/2/20,80136,705,40,2181,2690,131,8,8,31,5081,91011
3/3/20,80261,706,51,3070,3308,154,11,11,40,5934,93546
3/4/20,80386,706,86,3744,4255,188,16,21,55,6369,95826
3/5/20,80537,706,116,4401,5626,260,22,24,58,6838,98588
3/6/20,80690,696,164,5782,7352,320,34,43,64,7335,102480
3/7/20,80770,696,207,6992,9451,467,40,43,68,7783,106517
3/8/20,80823,696,274,7887,11928,601,62,83,81,8056,110491
3/9/20,80860,696,322,8558,14662,683,69,91,96,8220,114257
3/10/20,80887,696,384,9690,18005,1062,91,104,112,8257,119288
3/11/20,80921,696,459,11191,22989,1429,124,116,133,8503,126561
3/12/20,80932,696,459,12361,23725,1840,143,132,133,8618,129039
3/13/20,80945,696,801,14087,37493,2461,293,174,205,8734,145889
3/14/20,80977,696,1143,15866,45343,3057,358,251,256,8846,156793
3/15/20,81003,696,1144,17695,53728,3912,421,309,305,8932,168145
