,China,Diamond Princess,UK,Asia,Europe,North America,South America,Africa,Oceania,Unrecognised,Total
1/22/20,17,0,0,0,0,0,0,0,0,0,17
1/23/20,18,0,0,0,0,0,0,0,0,0,18
1/24/20,26,0,0,0,0,0,0,0,0,0,26
1/25/20,42,0,0,0,0,0,0,0,0,0,42
1/26/20,56,0,0,0,0,0,0,0,0,0,56
1/27/20,82,0,0,0,0,0,0,0,0,0,82
1/28/20,131,0,0,0,0,0,0,0,0,0,131
1/29/20,133,0,0,0,0,0,0,0,0,0,133
1/30/20,171,0,0,0,0,0,0,0,0,0,171
1/31/20,213,0,0,0,0,0,0,0,0,0,213
2/1/20,259,0,0,0,0,0,0,0,0,0,259
2/2/20,361,0,0,1,0,0,0,0,0,0,362
2/3/20,425,0,0,1,0,0,0,0,0,0,426
2/4/20,491,0,0,1,0,0,0,0,0,0,492
2/5/20,563,0,0,1,0,0,0,0,0,0,564
2/6/20,633,0,0,1,0,0,0,0,0,0,634
2/7/20,718,0,0,1,0,0,0,0,0,0,719
2/8/20,805,0,0,1,0,0,0,0,0,0,806
2/9/20,905,0,0,1,0,0,0,0,0,0,906
2/10/20,1012,0,0,1,0,0,0,0,0,0,1013
2/11/20,1112,0,0,1,0,0,0,0,0,0,1113
2/12/20,1117,0,0,1,0,0,0,0,0,0,1118
2/13/20,1369,0,0,2,0,0,0,0,0,0,1371
2/14/20,1521,0,0,2,0,0,0,0,0,0,1523
2/15/20,1663,0,0,2,1,0,0,0,0,0,1666
2/16/20,1766,0,0,2,1,0,0,0,0,1,1770
2/17/20,1864,0,0,2,1,0,0,0,0,1,1868
2/18/20,2003,0,0,2,1,0,0,0,0,1,2007
2/19/20,2116,0,0,4,1,0,0,0,0,1,2122
2/20/20,2238,2,0,4,1,0,0,0,0,4,2249
2/21/20,2238,2,0,6,2,0,0,0,0,5,2253
2/22/20,2443,2,0,7,3,0,0,0,0,5,2460
2/23/20,2445,3,0,10,4,0,0,0,0,10,2472
2/24/20,2595,3,0,14,8,0,0,0,0,12,2632
2/25/20,2665,3,0,18,11,0,0,0,0,14,2711
2/26/20,2717,4,0,22,14,0,0,0,0,17,2774
2/27/20,2746,4,0,31,19,0,0,0,0,18,2818
2/28/20,2790,6,0,39,23,0,0,0,0,20,2878
2/29/20,2837,6,0,49,31,1,0,0,0,23,2947
3/1/20,2872,6,0,62,36,1,0,0,1,24,3002
3/2/20,2914,6,0,74,55,6,0,0,1,35,3091
3/3/20,2947,6,0,85,85,7,0,0,1,35,3166
3/4/20,2983,6,0,102,114,11,0,0,2,42,3260
3/5/20,3015,6,1,117,159,12,0,0,2,42,3354
3/6/20,3044,6,2,135,214,14,0,0,2,49,3466
3/7/20,3072,6,2,157,257,17,0,0,2,51,3564
3/8/20,3100,6,3,208,408,21,1,1,3,57,3808
3/9/20,3123,6,4,255,518,23,1,1,3,60,3994
3/10/20,3139,6,6,311,710,29,1,2,3,61,4268
3/11/20,3161,7,8,383,951,38,1,2,3,68,4622
3/12/20,3172,7,8,461,955,42,2,3,3,74,4727
3/13/20,3180,7,8,558,1523,49,3,6,3,74,5411
3/14/20,3193,7,21,663,1791,56,5,7,3,80,5826
3/15/20,3203,7,21,779,2273,65,5,8,3,83,6447
