,China,Diamond Princess,UK,Asia,Europe,North America,South America,Africa,Oceania,Unrecognised,Total
1/22/20,28,0,0,0,0,0,0,0,0,0,28
1/23/20,30,0,0,0,0,0,0,0,0,0,30
1/24/20,36,0,0,0,0,0,0,0,0,0,36
1/25/20,39,0,0,0,0,0,0,0,0,0,39
1/26/20,49,0,0,3,0,0,0,0,0,0,52
1/27/20,58,0,0,3,0,0,0,0,0,0,61
1/28/20,101,0,0,6,0,0,0,0,0,0,107
1/29/20,120,0,0,6,0,0,0,0,0,0,126
1/30/20,135,0,0,6,0,0,0,0,2,0,143
1/31/20,214,0,0,6,0,0,0,0,2,0,222
2/1/20,275,0,0,7,0,0,0,0,2,0,284
2/2/20,463,0,0,7,0,0,0,0,2,0,472
2/3/20,614,0,0,7,0,0,0,0,2,0,623
2/4/20,843,0,0,7,0,0,0,0,2,0,852
2/5/20,1115,0,0,7,0,0,0,0,2,0,1124
2/6/20,1477,0,0,7,0,0,0,0,2,1,1487
2/7/20,1999,0,0,8,0,0,0,0,2,2,2011
2/8/20,2596,0,0,16,0,0,0,0,2,2,2616
2/9/20,3219,0,0,16,0,3,0,0,2,4,3244
2/10/20,3918,0,0,19,0,3,0,0,2,4,3946
2/11/20,4636,0,0,38,0,3,0,0,2,4,4683
2/12/20,5082,0,1,48,5,4,0,0,2,8,5150
2/13/20,6217,0,1,51,6,4,0,0,8,8,6295
2/14/20,7977,0,1,53,6,4,0,0,8,9,8058
2/15/20,9298,0,1,63,10,4,0,0,8,11,9395
2/16/20,10755,0,8,69,10,4,0,0,8,11,10865
2/17/20,12462,0,8,76,11,4,0,0,10,12,12583
2/18/20,14206,0,8,88,22,4,0,0,10,14,14352
2/19/20,15962,1,8,100,22,4,0,0,10,15,16122
2/20/20,18014,1,8,100,22,4,0,0,10,19,18178
2/21/20,18704,1,8,116,24,8,0,0,11,19,18891
2/22/20,22699,1,8,116,25,8,0,0,11,19,22887
2/23/20,23187,0,8,134,26,8,0,0,11,20,23394
2/24/20,25015,0,8,137,25,8,0,0,11,23,25227
2/25/20,27676,0,8,142,32,9,0,0,11,27,27905
2/26/20,30084,10,8,200,35,9,0,0,11,37,30394
2/27/20,32930,10,8,201,78,12,0,0,11,37,33287
2/28/20,36329,10,8,232,79,13,0,1,11,38,36721
2/29/20,39320,10,8,303,80,13,0,1,11,46,39792
3/1/20,42162,10,8,355,117,13,0,1,11,49,42726
3/2/20,44854,10,8,480,183,13,0,1,11,52,45612
3/3/20,47450,10,8,496,196,14,0,1,11,52,48238
3/4/20,50001,10,8,758,314,14,0,1,11,63,51180
3/5/20,52292,10,8,945,452,14,0,1,21,63,53806
3/6/20,53944,40,8,1127,563,14,0,1,21,187,55905
3/7/20,55539,40,18,1916,660,16,0,1,21,187,58398
3/8/20,57388,40,18,2384,694,16,0,2,21,171,60734
3/9/20,58804,40,18,2657,803,16,0,2,21,173,62534
3/10/20,60181,40,19,3048,809,20,0,2,21,304,64444
3/11/20,61644,325,19,3349,1292,20,0,28,21,630,67328
3/12/20,62901,325,19,3352,1293,24,0,36,21,678,68649
3/13/20,64196,325,19,3373,1724,24,0,37,23,855,70576
3/14/20,65660,325,19,3402,2599,24,1,41,23,855,72949
3/15/20,67017,325,19,5074,2986,24,1,35,23,855,76359
